city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia","WARKOP ""RUWET""","West Jakarta City, Jakarta, Indonesia",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP MOTEKAR,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4",4.7,3.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Bang Doel,"West Jakarta City, Jakarta, Indonesia",5.0,1.0,0,1,1,0,1,1,1
"Central Jakarta city, Indonesia",WARKOP TERMUDA,"Jl. Menteng Kecil Jl. Pejambon I Gg. II No.12, RT.6/RW.9",5.0,1.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Kramat Lontar,"Jl. Kramat Lontar No.1, RT.2/RW.7",4.5,49.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warung Kopi Pandawa,"South Jakarta City, Jakarta, Indonesia",4.5,121.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Juned,"Jl. Raden Saleh I No.12-2, RT.2/RW.2",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Mess Aceh,"Jl. Gondangdia Kecil No.Dalam 10, RT.10/RW.5",4.3,3.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP BAROKAH,RRJQ+F84,5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Warteg BABE 24 Always On,"Jl. Pintu Air Raya No.57A, RT.6/RW.1",5.0,2.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",WARKOP MINI JOHAR BARU,"Jl. Kp. Rawa Selatan Buntu No.4 No. 27, RT.7/RW.7",4.7,67.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP HDHT 24 JAM,"Jl. Kp. Bali XII No.37 4, RT.1/RW.9",5.0,6.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop Mar-Le,"North Jakarta City, Jakarta, Indonesia",4.5,62.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Babang,"Jl. Kp. Bali XIII No.1, RT.2/RW.9",4.9,7.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Jabrik,"Jl. Kawi Kawi Bawah L No.36 12, RT.12/RW.8",3.7,7.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Bahtera - Kapal Juanda,"Jl. Ir. H. Juanda No.14, RT.14/RW.4",,,1,0,0,1,1,1,1
"Central Jakarta city, Indonesia",warkop sidoel,"West Jakarta City, Jakarta, Indonesia",4.4,19.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop DPR RGF,"South Jakarta City, Jakarta, Indonesia",4.9,85.0,1,1,1,1,1,0,0
"Central Jakarta city, Indonesia",Warkop Bekas Sekolah,Jl. Telaga Raya No.79,5.0,33.0,1,1,1,1,1,0,1
