city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"South Jakarta city, Indonesia",Ndeso'o Warkop,"Central Jakarta City, Jakarta, Indonésia","5,0",13.0,1,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Katineung,"jakarta, Jakarta, Indonésia","4,6",32.0,1,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Warteg BABE 24 Always On,"Central Jakarta City, Jakarta, Indonésia","5,0",2.0,1,1,1,0,0,1,0
"South Jakarta city, Indonesia",Warkop TAKASIMURA,"East Jakarta City, Jakarta, Indonésia","4,9",10.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",WARKOP BAROKAH,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Cikal,"East Jakarta City, Jakarta, Indonésia","4,6",10.0,1,0,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Junko,"South Jakarta City, Jakarta, Indonésia","4,1",28.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",WARKOP GUNTUR POJOKAN,"Jakarta, Indonésia","5,0",6.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP BERSAMA,"Central Jakarta City, Jakarta, Indonésia","3,0",3.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",waRkop aja!,"South Jakarta City, Jakarta, Indonésia","5,0",11.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",WARKOP CINTA RASA,"West Jakarta City, Jakarta, Indonésia",,,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Put In Warkop and Mart,"South Jakarta City, Jakarta, Indonésia",,,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Tampomas Jaya,"South Jakarta City, Jakarta, Indonésia","5,0",2.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Pak Endang,"South Jakarta City, Jakarta, Indonésia","4,8",5.0,0,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Teladan,"South Jakarta City, Jakarta, Indonésia","4,5",14.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Aa Belakang SD,"South Jakarta City, Jakarta, Indonésia","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Girl Boss,"Jakarta, Indonésia","3,8",10.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Mikita,"Jakarta, Indonésia","4,9",31.0,1,1,1,0,1,0,1
"South Jakarta city, Indonesia",Warkop 212,"South Jakarta City, Jakarta, Indonésia","5,0",5.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",warkop bang gandil,"South Jakarta City, Jakarta, Indonésia","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Ibrahim,"West Jakarta City, Jakarta, Indonésia","4,2",24.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Bahtera - Kapal Juanda,"Central Jakarta City, Jakarta, Indonésia",,,1,1,1,1,1,0,0
"South Jakarta city, Indonesia",Warkop Kabengbat,"Central Jakarta City, Jakarta, Indonésia","4,5",4.0,1,1,0,1,1,1,0
"South Jakarta city, Indonesia",Warkop Tanah Abang 54,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP SHAINA,"Jakarta, Indonésia","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Piay,"palsigunung, West Java, Indonésia","4,7",7.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia","Warka ""Warkop Jenaka""","Central Jakarta City, Jakarta, Indonésia","5,0",4.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP,"South Tangerang City, Banten, Indonésia","4,4",107.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Emon,"Tangerang City, Banten, Indonésia","3,8",4.0,1,1,1,1,1,1,0
