city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"South Jakarta city, Indonesia",Warkop Joo!,"West Jakarta City, Jakarta, Индонезия","5,0",32.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop GO,"East Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warung Mawar (Warkop dan Angkringan),"Central Jakarta City, Jakarta, Индонезия","5,0",5.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Sin Nung Kebot,"West Jakarta City, Jakarta, Индонезия","5,0",5.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Nusantara & Warteg Jayabahari,"South Jakarta City, Jakarta, Индонезия","5,0",3.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",WARPIINDO KRAMAT 5 (Warkop Kopi),"Jakarta, Индонезия","5,0",14.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",De'Java Warkop,"South Jakarta City, Jakarta, Индонезия","4,9",19.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Arkha,"Bekasi, West Java, Индонезия","4,8",6.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP IDAMAN 24JAM KEB0N PALA JAKARTA PUSAT,"Central Jakarta City, Jakarta, Индонезия","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Wiko Warkop,"West Jakarta City, Jakarta, Индонезия","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Putra Perdapa,"South Jakarta City, Jakarta, Индонезия","4,5",2.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Yambe,"South Jakarta City, Jakarta, Индонезия","4,6",28.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",wahyoo warkop juanda,"Central Jakarta City, Jakarta, Индонезия","4,3",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Pandora Karet Kuningan,"South Jakarta City, Jakarta, Индонезия","4,8",70.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia","GG Rental PS3, PS4 & Warkop GG","West Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Makaroni & Warkop Wawawww8,"South Jakarta City, Jakarta, Индонезия","4,5",18.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WAHYOO WARKOP DJAYA,"Central Jakarta City, Jakarta, Индонезия","5,0",13.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Crott,"South Jakarta City, Jakarta, Индонезия","5,0",10.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Mamang Anwar,"Central Jakarta City, Jakarta, Индонезия","4,9",7.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Delapan,"Central Jakarta City, Jakarta, Индонезия","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Kedai Kopi di Palembang | PORTAL WARKOP,"Palembang City, South Sumatra, Индонезия","4,6",308.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",PORTAL WARKOP PLAJU,"Palembang City, South Sumatra, Индонезия","4,6",59.0,1,1,1,1,1,1,1
